player,team,event_type,result,original_x,original_y,converted_x,converted_y
Devin Booker,PHX,shot,made,-8,112,25.8,77.8
Devin Booker,PHX,shot,made,0,4,25,88.6
Devin Booker,PHX,shot,made,-101,233,35.1,65.7
Devin Booker,PHX,shot,made,3,53,24.7,83.7
Devin Booker,PHX,shot,made,-4,7,25.4,88.3
Devin Booker,PHX,shot,made,-97,74,34.7,81.6
Devin Booker,PHX,shot,made,8,-4,24.2,89.4
Devin Booker,PHX,shot,made,17,264,23.3,62.6
Devin Booker,PHX,shot,made,2,134,24.8,75.6
Devin Booker,PHX,shot,made,1,5,24.9,88.5
Devin Booker,PHX,shot,made,116,232,13.4,65.8
Devin Booker,PHX,shot,made,-7,256,25.7,63.4
Devin Booker,PHX,shot,made,-230,47,48,84.3
Devin Booker,PHX,shot,made,-226,-13,47.6,90.3
Devin Booker,PHX,shot,made,42,95,20.8,79.5
Devin Booker,PHX,shot,made,107,230,14.3,66
Devin Booker,PHX,shot,made,106,14,14.4,87.6
Devin Booker,PHX,shot,made,30,126,28,17.6
Devin Booker,PHX,shot,made,-77,110,17.3,16
Devin Booker,PHX,shot,made,7,2,25.7,5.2
Devin Booker,PHX,shot,made,163,218,41.3,26.8
Devin Booker,PHX,shot,made,-135,20,11.5,7
Devin Booker,PHX,shot,made,-3,7,24.7,5.7
Devin Booker,PHX,shot,made,13,4,26.3,5.4
Devin Booker,PHX,shot,made,-5,124,24.5,17.4
Devin Booker,PHX,shot,made,-3,161,24.7,21.1
Devin Booker,PHX,shot,made,96,43,34.6,9.3
Devin Booker,PHX,shot,made,152,210,40.2,26
Devin Booker,PHX,shot,made,16,11,26.6,6.1
Devin Booker,PHX,shot,made,8,21,25.8,7.1
Devin Booker,PHX,shot,made,13,95,26.3,14.5
Devin Booker,PHX,shot,made,-4,28,24.6,7.8
Devin Booker,PHX,shot,made,-87,160,16.3,21
Devin Booker,PHX,shot,made,3,92,25.3,14.2
Devin Booker,PHX,shot,made,191,212,44.1,26.2
Devin Booker,PHX,shot,made,66,127,31.6,17.7
Devin Booker,PHX,shot,made,9,15,25.9,6.5
Devin Booker,PHX,shot,made,162,195,8.8,69.5
Devin Booker,PHX,shot,made,-90,16,34,87.4
Devin Booker,PHX,shot,made,0,4,25,88.6
Devin Booker,PHX,shot,made,70,88,18,80.2
Devin Booker,PHX,shot,made,3,95,24.7,79.5
Devin Booker,PHX,shot,made,-8,-10,25.8,90
Devin Booker,PHX,shot,made,-4,6,25.4,88.4
Devin Booker,PHX,shot,made,-6,17,25.6,87.3
Devin Booker,PHX,shot,made,-173,183,42.3,70.7
Devin Booker,PHX,shot,made,6,14,25.6,6.4
Devin Booker,PHX,shot,made,120,121,37,17.1
Devin Booker,PHX,shot,made,-14,0,23.6,5
Devin Booker,PHX,shot,made,160,232,41,28.2
Devin Booker,PHX,shot,made,17,33,26.7,8.3
Devin Booker,PHX,shot,made,150,78,40,12.8
Devin Booker,PHX,shot,made,123,159,37.3,20.9
Devin Booker,PHX,shot,made,-31,25,21.9,7.5
Devin Booker,PHX,shot,made,0,5,25,5.5
Devin Booker,PHX,shot,made,-24,-7,22.6,4.3
Devin Booker,PHX,shot,made,-19,9,23.1,5.9
Devin Booker,PHX,shot,made,183,184,43.3,23.4
Devin Booker,PHX,shot,made,124,251,37.4,30.1
Devin Booker,PHX,shot,made,75,135,32.5,18.5
Devin Booker,PHX,shot,made,8,17,25.8,6.7
Devin Booker,PHX,shot,made,19,-10,26.9,4
Devin Booker,PHX,shot,made,67,95,31.7,14.5
Devin Booker,PHX,shot,made,-5,91,24.5,14.1
Devin Booker,PHX,shot,made,72,112,32.2,16.2
Devin Booker,PHX,shot,made,19,6,26.9,5.6
Devin Booker,PHX,shot,made,161,204,41.1,25.4
